                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.80583,                0.77107,                 1.0278,                0.98165,                0.94991,                0.98418,                0.82444,                0.75703,                0.67798,                 0.9944,              0.0003367,              0.0003367,              0.0003367
                     70,                0.77097,                0.80303,                 1.0408,                0.97312,                0.94995,                0.98863,                0.82942,                0.75657,                0.70229,                0.99462,              0.0003268,              0.0003268,              0.0003268
                     71,                0.84076,                0.84355,                 1.0487,                 0.9504,                0.95586,                0.98494,                 0.8253,                0.74906,                0.73135,                0.98835,              0.0003169,              0.0003169,              0.0003169
                     72,                0.72487,                 0.8535,                  1.012,                0.91577,                0.98533,                0.98661,                0.82856,                0.73745,                0.73773,                0.99006,               0.000307,               0.000307,               0.000307
                     73,                0.74252,                 0.8686,                 1.0237,                0.91577,                0.98533,                0.98661,                0.82856,                0.73745,                0.73773,                0.99006,              0.0002971,              0.0002971,              0.0002971
                     74,                0.79389,                0.84604,                 1.0265,                0.91849,                0.99143,                0.98674,                0.82344,                0.74397,                0.73518,                0.99264,              0.0002872,              0.0002872,              0.0002872
                     75,                0.78537,                0.87952,                 1.0445,                0.91641,                0.98719,                0.98862,                0.82426,                0.73839,                 0.7155,                0.97995,              0.0002773,              0.0002773,              0.0002773
                     76,                0.66448,                0.73406,                 0.9603,                0.92332,                0.98727,                0.97756,                0.82083,                0.71855,                0.68224,                0.97286,              0.0002674,              0.0002674,              0.0002674
                     77,                0.77599,                0.79994,                0.99141,                0.92332,                0.98727,                0.97756,                0.82083,                0.71855,                0.68224,                0.97286,              0.0002575,              0.0002575,              0.0002575
                     78,                 0.7719,                0.76583,                0.99299,                0.93026,                0.99144,                0.97375,                0.82515,                0.71277,                0.66444,                0.97788,              0.0002476,              0.0002476,              0.0002476
                     79,                0.72063,                   0.79,                0.99405,                0.92735,                0.99246,                0.97362,                0.82535,                 0.7235,                0.65002,                0.98506,              0.0002377,              0.0002377,              0.0002377
                     80,                0.72763,                0.80239,                 1.0117,                0.95436,                0.95686,                0.97407,                0.83041,                0.72121,                0.64994,                0.97816,              0.0002278,              0.0002278,              0.0002278
                     81,                0.69599,                0.75143,                  1.013,                0.95436,                0.95686,                0.97407,                0.83041,                0.72121,                0.64994,                0.97816,              0.0002179,              0.0002179,              0.0002179
                     82,                0.73448,                0.78449,                  1.007,                0.95328,                0.98642,                0.97815,                0.82922,                0.72059,                0.65215,                 0.9766,               0.000208,               0.000208,               0.000208
                     83,                0.72308,                0.80127,                0.99988,                0.95832,                0.95478,                0.97884,                 0.8328,                0.71158,                0.63576,                0.97179,              0.0001981,              0.0001981,              0.0001981
                     84,                0.76386,                0.79655,                 1.0105,                0.98364,                0.95239,                0.99089,                 0.8482,                0.70727,                0.61131,                0.96812,              0.0001882,              0.0001882,              0.0001882
                     85,                0.72658,                0.82436,                 1.0364,                0.98364,                0.95239,                0.99089,                 0.8482,                0.70727,                0.61131,                0.96812,              0.0001783,              0.0001783,              0.0001783
                     86,                0.78894,                0.77915,                 1.0237,                0.98381,                0.97774,                 0.9948,                0.85214,                0.71101,                0.60349,                0.96691,              0.0001684,              0.0001684,              0.0001684
                     87,                0.76612,                0.72178,                 1.0133,                0.98467,                0.98142,                0.99495,                0.85576,                0.71101,                0.60471,                0.96396,              0.0001585,              0.0001585,              0.0001585
                     88,                0.75521,                0.73591,                 1.0185,                0.98383,                0.96455,                0.99114,                0.85138,                0.70358,                0.61014,                0.96101,              0.0001486,              0.0001486,              0.0001486
                     89,                0.77879,                0.73854,                 1.0031,                0.98383,                0.96455,                0.99114,                0.85138,                0.70358,                0.61014,                0.96101,              0.0001387,              0.0001387,              0.0001387
                     90,                0.71804,                0.76843,                0.98357,                   0.98,                0.98165,                0.99495,                0.85575,                0.69362,                0.61198,                0.95807,              0.0001288,              0.0001288,              0.0001288
